order,pid,ms_subclass,lot_frontage,lot_area,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,totrms_abvgrd,fireplaces,garage_yr_blt,garage_cars,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,saleprice,ms_zoning,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating,heating_qc,central_air,electrical,kitchen_qual,functional,fireplace_qu,garage_type,garage_finish,garage_qual,garage_cond,paved_drive,pool_qc,fence,misc_feature,sale_type,sale_condition
18.990866896494936,528217987.3705183,21.116199741503756,141.1264108174496,31941.9712995074,6.021264411844542,4.960182248949433,1959.5392746613077,1960.3682783118427,104.91281890918168,634.6551515064987,-1.4265521027343482,459.5426373094858,1088.5638356923039,1670.6699983513126,3.683484708938522,1.4091756227248853,1644.6779219628297,1.0157580088437026,-0.00296429102189516,1.0094085712795735,0.00016188185377236097,2.9980153919355046,0.9986304500155337,6.997778235076369,2.002759602189064,1960.5784982297068,2.0211979090937984,523.7107584103635,212.11872867206313,64.61031664373269,0.005264142034469899,-0.9121056822311595,0.09858640007681707,-0.03891651638888671,-11.95219367751109,5.0887685061355326,2010.0093759294243,217141.19301333968,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,Gable,CompShg,WdShing,HdBoard,Missing,TA,Gd,CBlock,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Missing,Detchd,Fin,TA,TA,Y,Missing,MnPrv,Missing,WD ,Normal
-18.48550808812024,519420516.5431098,19.001178348522615,80.45903853018679,11621.674988934263,5.036344474986666,6.014510934850719,1961.3603791133476,1960.6568586790486,0.23942790620043297,465.9882335755373,147.01175831779142,258.6879793471935,888.3441683305227,892.6157008318851,-12.411446650928724,0.840641058628731,889.294767836123,-0.0057098010866782345,-0.007104236363222494,1.0060219582882741,-0.008116155479252762,2.0092704953977876,0.9997606192586601,5.046068121076435,0.004089948947094246,1961.3360763023668,0.9991721645719377,725.6182599861276,137.56782102500824,0.7235380147993951,-0.5415100931713184,-1.1223214678578612,121.1064898308456,-1.2007430840439857,-15.138905960219802,5.956181218234138,2010.0165978075343,103275.76797210806,RM,Pave,Missing,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,Missing,Fa,Fa,BrkTil,TA,TA,No,Rec,Unf,GasA,Gd,N,FuseA,Ex,Typ,Gd,Detchd,Unf,Fa,Fa,N,Missing,Missing,Missing,WD ,Normal
4.465401800487825,527148587.0805165,19.72110517553341,81.426855516151,14312.831089544467,5.991125874253328,6.012711157398621,1958.2547863899,1957.9470847266816,109.0978090055578,921.6951924325865,-4.144975864743969,398.03060365795255,1328.1762299783145,1314.1242308805477,7.712518805499371,0.2843145045468862,1330.2535738312115,-0.007838418241961465,0.00045512799799943965,1.0163542565680874,1.0054976500351644,3.011960521986085,0.9939623317323546,5.97263988173428,-0.005355044577082357,1958.2719427056318,1.0141073053885656,313.2969219931998,396.5974743166678,34.44612124756645,-3.8498785705311427,-0.24717671652484263,-0.8175499934205277,-0.9417670591103948,12500.689485236133,5.983446238096749,2010.0153468611666,169710.34382734148,FV,Pave,Missing,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Missing,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
9.984815405004383,525889267.48092604,19.95904599215897,92.844047703738,11205.248688143456,6.971040115620928,5.025615289155837,1966.7519786392863,1968.3228593007366,2.033564884923422,1073.7107079098703,-0.4491168498047813,1025.5923230899646,2111.277312412056,2106.9069194274425,-5.529307057541985,0.3022198789343298,2120.5586698063635,1.0241409792528309,-0.004714573931640112,2.004786991374952,1.0014409428152595,2.9976054947066504,1.00359302402947,8.032441383231566,1.9876480463052077,1967.9886637503125,2.001248445243065,524.1214326390536,-1.084029671419941,2.432151726517752,0.49483011558609036,0.1939178823999792,-1.7362122917012535,0.10601019837338832,12.614880302363353,3.977308249169625,2009.99254539331,242884.66133993753,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
-27.543154449294434,525099133.7601347,60.328127002027216,73.86855759256213,14146.357314849913,5.0222222149175515,5.001540003988706,1996.3177718764844,1997.6773478156,-2.3178540390743194,800.2820524148706,-2.132697748018657,137.21390425825973,937.3492790810262,929.4159795717904,706.3751191367955,-1.8171661869949007,1635.2113446949982,-0.0020572072789559748,8.154406712181095e-05,1.9912809931294821,1.0113151321327634,3.012968309097559,1.0082996567823084,6.027346435995711,1.0203385015037303,1997.2639762319718,1.9931107442847367,480.0064453338084,211.01389241415706,32.15523772094955,-1.0236396520664783,-0.08274094027181755,1.1300018202138684,0.9506308307425464,-10.609706407922985,3.168304865206092,2009.963191257728,192187.32908621294,RL,Pave,Missing,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,Gable,CompShg,HdBoard,HdBoard,Missing,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasW,TA,Y,SBrkr,TA,Mod,Missing,2Types,Unf,TA,TA,N,Missing,Missing,Missing,WD ,Normal
-9.720794894619985,525156609.90055394,62.186407206000425,78.50661545262759,9973.407943533739,6.04444239490576,6.065818868241031,1998.4794556518327,1998.3548574710426,23.40303869566418,590.8031018646087,-2.1745833068963734,323.69196214213997,924.3711043267742,933.3111393973705,688.9626361777978,0.6892260431140693,1600.14362429481,-0.003347668142738458,0.0003175198290800568,2.012409076859825,1.004502484389195,3.021137539000722,1.0042956205356477,6.9804061020575325,1.0000873511810897,1998.0506811428627,2.021871832526685,468.90678750851214,360.2057974580207,36.914440065335384,0.4027888642188948,0.052586661576414784,-1.12004273294421,-0.024234487248128822,-28.182256119200517,5.9945804221119126,2009.9665279712235,195399.68855576214,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,TA,Gd,CBlock,TA,TA,No,BLQ,LwQ,GasA,TA,Y,SBrkr,TA,Typ,Missing,Detchd,Unf,TA,TA,P,Missing,Missing,Missing,COD,Normal
-33.85061920113685,528945621.2652237,120.98505422728158,40.81933874959597,4830.095424695855,7.9940365019523725,4.998843023215895,2001.2398830573593,2001.2620133921318,-2.2761178555917922,596.2033218567493,-0.14321623735900602,732.6651923639906,1335.1709318639655,1327.8956083367843,2.4931473503592088,-0.6293891509252516,1351.2499426639272,1.0116914724249022,-0.005270168683072299,2.0019987260029346,-0.0003523945987367605,1.9711100992587351,0.9961571305923008,6.0366407893730525,-0.02346085201552406,2001.4851835186469,2.0108956776839486,586.9276376673474,3.1027655069877795,0.12515579600312066,169.5550034373089,-0.42228182721711516,1.5509867079144293,0.5019817143167371,7.049343854154607,4.077421863487908,2009.9819792248736,209911.03375490318,RL,Pave,Missing,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,Missing,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,Fin,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
-27.320732590716943,526418052.5067798,117.84159324415384,42.996781840631634,4804.957521187255,7.98612044686591,4.9880005783036445,1992.194790105162,1991.9568609389278,4.069022665966017,253.04679271191463,1.287417220297911,1008.8506618516415,1294.69948327757,1281.0976470619362,2.7592321860187212,-0.8316458757175296,1276.684173277752,0.0017219033500535663,-0.01123116977728407,1.9926791846765606,0.0026906229789852576,1.9839749199246133,0.9958298697915234,5.024228092168567,0.023621255676481212,1992.744980840005,2.012234283527537,506.5792423270927,-3.2556411210020713,82.9671955703888,0.7149172260914085,0.24852053448199207,140.80839365421667,-0.02062834761304888,7.5279697460621335,1.0762523917493354,2010.0290975310727,190737.20170199842,RL,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,Missing,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Gd,Typ,Missing,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
12.06529303717707,515444030.64720535,118.89478875820328,39.070182038344925,5309.748489326479,7.969779370552278,4.963134713149393,1994.8998023709046,1996.0133843789858,4.016423923589656,1180.9596710702217,-6.805747038781426,406.490253192547,1598.3956023816222,1611.6891928227915,-1.1222340573462475,0.5993604484512778,1626.5670489493352,0.988081099611308,-0.002785816133375696,1.9801774928905624,-0.0018681004356944642,1.9992865429868112,1.001776128644007,5.0218110617272425,0.9971591275075036,1996.0453235397088,2.0128403554495287,603.2992956230846,239.44316957831674,150.92651034426962,0.2612621111498932,-0.5265369631744972,-0.633516947148955,-1.3501324050867027,12.817791749267343,2.955024330340216,2009.9912699454414,235719.71532055858,RM,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,SFoyer,Gable,CompShg,CemntBd,CmentBd,Missing,TA,TA,CBlock,Gd,TA,Av,LwQ,GLQ,GasA,Ex,Y,SBrkr,TA,Typ,Missing,Missing,Missing,Missing,Missing,Y,Missing,Missing,Missing,WD ,Normal
-25.16803210038961,525851064.60208523,59.97291313498509,59.95540368914285,7641.170072821796,7.018270600161787,5.022624746902681,1999.8849900808898,1998.555820514619,-2.668762495176381,-14.03813237677241,2.2044134544789316,996.6911199709192,1004.1860285343118,1027.9499372477735,777.0314871192256,0.7742122603030301,1799.9447034828866,-0.0018457274901845233,-0.0035160492910015217,2.013657023144779,0.9953979136659852,3.0063553330668396,1.002016417896384,6.990663442532082,1.0011035346472978,1999.2562870551517,1.9906776743383692,441.27521373553446,139.7197433433007,62.77586662553574,0.5051793473352113,-0.11919021799269514,0.3731455327258324,-0.22755581985825968,3.63999286430915,6.057472240373716,2009.9917291266477,187766.69511141433,RM,Pave,Missing,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,Missing,Missing,Missing,WD ,Normal
